Title,Content,Date,Rating
Bonjour (:,"Bonjour, pour parler du Carrefour de Feurs (42), et simplement dire que sa responsable RH est une gigantissime m*rdasse. 4ans que je postules pour faire employé d’rayon d’ces grands morts, 4ans de réponses négatives, c’est normal ça ? Faut impérativement 50ans d’expérience pour être embauché dans ce job éclaté au sol/20 ?",2020-10-25,medium
Viande à jeter…,"La semaine dernière,j’ai acheté une selle d’agneau et des  côtelettes d’agneau, catastrophe, nous n’avons pas pu mâcher ni la selle ni les côtelettes, tellement dures, ce n’était certainement pas de l’agneau mais du mouton datant. ...... ce n’est pas la première foisLorsque vous faites une réclamation , on ne vous réponds jamaisC’est honteux de tromper les gens comme celaJe crois que plus jamais je n’achèterai de viande dans ce magasin .Pourtant Super U a Roujan, la viande est excellente !!!Mais lorsque l’on est pressé, on va au plus près de chez soi",2020-10-24,medium
"carrefour france,  petit bleu cremeux en ls","le meilleur bleu en ls qu on puisse trouver est chez carrefour,a un prix en dessous de 7 euro le kg.  ce n´est rien d´autre qu ún bleu de bresse riche en mg, alors que le bresse breu a cote coute le double. il est fabriqué en bresse.  pour un prix  a peu pres semblable on  trouve ailleurs, chez cora, lidl ou intermarche, des petits bleus,mais  pas specialement cremeux, fabriqués en auvergne,. l´avantage prix et gout est donc tres nettement du cote de carrefour et de ses acheteurs avisés,.et puis il y a les malins comme lidl qui indique que leur petit bleu est cremeux, alors qu´il ne l´est pas particulierement avec 50% de mg, au lieu des 70% de carrefour.  le qualificatif cremeux est laisse a l appreciation de chacun, pas une mention mensongere mais simplement exagérée  pour capter une clientele supplementaire.   copie reussie donc pour carrefour sur ce theme",2020-10-23,medium
Carrefour Les Portes en Ré à éviter,"Carrefour Les Portes en Ré en constante rupture de stock, magasin sale, rayons mal ou pas nettoyés. En période de Covid aucune distanciation sociale, caissier avec masque sous le menton... À éviter en attendant un changement de gérant !",2020-10-23,medium
Carrefour drive et cagnotte pas reversé sur ma carte,"J'ai fait un gros achat en septembre sur le drive carrefour avec cagnotte doublée, j'envoie sans cesse des courriers car la 2e partie de ma cagnotte ne m'a toujours pas été reversée, j'ai envoyé le descriptif complet de mes achats et du montant qu'on me doit et aucune réponse, ou des messages automatiques. L'année dernière ça a pris 3 mois pour qu'on me rembourse avec la même opération publicitaire chez eux. Il y a toujours des erreurs ou des oublis de produits dans mon drive.Maintenant je pointe tous mes articles quand je rentre chez moi. Là j'en ai assez, qu'on se moque des clients comme ça, je vais changer d'enseigne, tous les magasins font des drives maintenant.",2020-10-23,medium
C'est cher bien plus cher que leclerc,"C'est cher bien plus cher que leclerc, dommage.",2020-10-23,medium
tromperie jeu carrefour,"Apres une commande en drive la semaine du 21/09/20 au 28/09/20, on pouvais gagner le double de la cagnotte.Jai reçu un email comme quoi j'avais gagner le double des remise fidélité cumulée.Elle est estimée à 222€ un peu pres.ils m'ont remis seulement 3,44€.Tous les produit acheter était éligible à l'offre car ils étaient accompagner de l'offre caddie minute. Ils me disent qui n'était pas éligible.Jai toute les preuves et je vais voir quel suite je vais poursuivre. cest vraiment du vol",2020-10-22,medium
J’ai commandé sur le site de la foire…,"J’ai commandé sur le site de la foire aux vins  de carrefour le 14 septembre et depuis aucune nouvelle de ma commande, qui n'était pas donnée. Je suis déjà allé voir 3 fois au Carrefour market en question et personne ne sait me dire où est ma commande. C'est nul en termes de e-commerce, je n'ai jamais vu ça",2020-10-22,medium
Personnel de la file de location des…,Personnel de la file de location des fourgons impoli (pas de bonjour etc.),2020-10-21,medium
Magasin trop souvent en rupture de stock,"Je viens de faire mes courses, devrais-je plutôt dire une partie de mes courses ! Pouvez-vous m'expliquez pourquoi beaucoup trop de rayons sont vides ? Le problème est récurrent et à chaque fois je dois aller dans un autre supermarché pour trouver les articles manquants. Un jour j'irai directement chez les concurrents sans passer au préalable chez Carrefour Market Oyonnax et ce sera définitif. Heureusement que les hôtesses de caisse sont agréables et compétentes car au niveau de la direction il y a un  gros problème d'organisation. Pensez à embaucher du monde pour la mise en rayon et en caisse (3 ou 4 hôtesses aux heures de pointe est une honte !). Je suis cliente depuis de très nombreuses années mais je crois qu'il est temps de changer de crèmerie !",2020-10-20,medium
