Title,Content,Date,Rating
Absence de personnel remplacé par caisses automatiques déshumanisé ! !,3 caisses ouvertes pour 1/4 d heure d'attente !!  plus personne pour nous renseigner..beaucoup de personnes âgées que l'on envoie aux caisses automatiques qui sont perdues!! Quel déshumanisme!! Beaucoup moins de clients d'ailleurs j'ai remarqué qui vont au magasin d'à côté bien plus chaleureux ! Et moi avec..,2020-10-19,medium
c'est trop cher,Voilà tout est dit.,2020-10-02,medium
Boycott géant casino Masséna,Bonjour à tous..Après la changement de direction de geant casino massena ce vraiment on doit signaler la mauvaise service et informations et plus magasin en mauvais état escaliers hors services.. vigiles malinformé feuilles mes cadi sans raisons..Carrefour et Auchan le bon choix du cartier du 13ème Paris .Boycott le geant casino massena13 .,2020-09-25,medium
A fuir,"Autant je trouve les supermarchés Casino corrects autant la livraison à domicile est une catastrophe..... beaucoup de produits manquants comme du lait...du Perrier etc..qui ne sont pourtant pas des produits rares... commande indiquée livrée mais en fait non ça veut juste dire que le livreur est parti avec (dixit le service client par téléphone)...Et pour finir les avantages comme Casino max ne sont pas valables en livraison....en bref à fuir et ne comptez pas sur le service client par téléphone (payant) pour vous aider, une voix impersonnelle qui répète d'une voix blasée tout ce que vous pouvez déjà lire sur leur site....puis vous souhaite une bonne journée ..ah si on apprend que chez Casino livré ça ne veut pas dire livré.... j'attends patiemment ma demie livraison et je sortirais faire mes courses....perte de temps, d'argent (en moyenne plus cher que ces concurrents)....bref",2020-09-21,medium
C'est très mal entretenu,"C'est très mal entretenu ! Quant à la viande elle est souvent verte ! Je ne la donnerai même pas à mon chien,  c'est une honte !!!!!",2020-09-13,medium
Je n'ai jamais réussi à avoir des…,"Je n'ai jamais réussi à avoir des courses  qui correspondaient à ce que j'ai commandé : à chaque fois des articles manquants étaient dans le magasin, les remplacements sont justes incompréhensibles, des articles périmés. bref si vous voulez gagner du temps, évitez ce drive !!",2020-09-12,medium
encore une arnaque,encore une arnaquej'avais 14.45 euros de cagnotte sur ma carte.Je passe en caisse et je demande à payer avec ma cagnotte : ZERO sur ma carte !!! disparus les 14.45 euros !!!je regarde pour faire une réclamation vu que j'ai le ticket de caisse : trop tard !!! maxi 30 jours pour faire une réclamation !!!!!quelle bande d'escrocs !!!!!,2020-09-12,medium
Hier je passais au caisse express avec…,"Hier je passais au caisse express avec un jouet pour ma fille, prix indiqué en rayon 22,90€...passage en caisse24.90€.Ce matin je me présente à l'accueil avec le ticket de caisse (et le sourire même sous le masque!)qui, me semble t'il constitu une preuve d'achat...et là on me répond que non , ils ne feront rien, il faut le produit...travaillant moi même en grande distribution je n'ai jamais vu une chose pareille, donc les prix ne sont pas à jour et c'est bien fait pour le client et on vous le fait savoir, il aurait été simple d'aller en rayon, scanner le produit, constater qu'il correspondait au produit sur mon ticket de caisse, et poliment me rembourser les 2€ de difference!!A la place on s'adresse à vous avec mépris et à deux histoire d'assoir la supériorité !! Magique(Géant Brest far de l'Europe)je n'utiliserai plus les caisses express ça m'évitera peut être de me faire voler, ce ne sont que deux euros...mais multiplié par le nombre de personnes qui passent par jour...! Voilà, merci aux deux sympathiques personnes de l'accueil.",2020-09-10,medium
caisse prioritaire pour se faire insulter .,Bonjour. un jour de trés grosse affluence début août au géant La Foux Gassin il n' y avait qu'une caisse prioritaire d'ouverte. Etant handicapé à 80% j'ai essayé de faire valoir mes droits . nous étions 7 personnes à posséder une carte d'invalidité. la file de gens qui attendaient a refuser de nous laisser passer sous prétexte qu'ils étaient là de puis longtemps. les insultes ont fusées et une personne m'a poussé et je suis tombé par terre. La direction a refusée de me recevoir. La pauvre caissière qui essayait de faire de son mieux a essuyé de nombreuse insultes . finalement après 1/2 heure je suis passé grace a cette gentille caissière. Je n'irais plus jamais dans ce magasin . Honte à eux de traiter ainsi les personnes à mobilité réduite.,2020-09-03,medium
Arnaque,"Arnaque, allez la bas uniquement si vous souhaitez vous faire piller vos portefeuilles.. Suffit de voir les commentaires laissés sur divers plateforme.",2020-08-29,medium
