Title,Content,Date,Rating
Fort déçue car le site ABBEVILLE est…,Fort déçue car le site ABBEVILLE est limité en moyens de paiement pas de possibilités d'utiliser une ecarte seul site de course en ligne qui ne le propose pas.... verdict fraude sur ma carte,2020-10-27,medium
Grosse arnaque.,"Grosse arnaque.J'attends toujours le plat 32/19 commandé avec 50 vignettes soit 500 euros de produits Intermarché.On nous promets des produits, ensuite on nous dit qu'il faut s'inscrire sur le site, ensuite on nous dit que l'on est bien sur la liste, et enfin on nous dit qu'ils n'en on pas reçu.Cela semble à de la publicité mensongère ............",2020-10-25,medium
SATISFACTION,"Bonjour,Je suis très satisfaite de la préparation de la commande, de la livraison et de l'accueil téléphonique. Le personnel est très accueillant et professionnel.A recommander.",2020-10-22,medium
Lors d'une livraison Drive,"Lors d'une livraison Drive, j'ai été facturée de 3 bouteilles de jus pressade mais je ne les ai pas eues...Un avoir à déduire sur une prochaine commande au drive...mais j'ai précisé que je ne souhaitais plus commander au drive suite à beaucoup de manquants, je leur ai demandé de me mettre le remboursement sur ma carte de fidélité. Ils m'ont dit ""ok"". J'ai donc fait des achats dans le magasin, mais rien sur ma carte!, la caissière et Nathalie se sont occupées du problème et ont fait le nécessaire, merci à elles !",2020-10-22,medium
Hyper Intermarché 38150 au top !,"Hypermarché assez proche du centre ville du Péage de Roussillon bien placé. Les prix n'ont rien à rougir face à la concurrence, surtout quand on profite des promos avec catalogue toutes les semaines.Le magasin est propre et rassurant. Les prix sont très correct. La qualité des fruits et des légumes sont de qualité et souvent moins cher que dans les discount comme Lidl (Aldi je ne sais pas).Par contre le boucher qui découpe devant vous la viande à mains nues sans les gants... Çà ne donne pas envie d'acheter. D'ailleurs la viande au marché frais boucherie en visuel n'a pas l'air de bonne qualité, surtout les promos. Rien à voir avec les belles photos sur le site Internet... Les points fort:- ce sont de vrais promotions, attention aux dates de péremption tout de même, elles sont assez courtes.- le drive et la livraison à domicile. Si l'article n'est pas disponible, il sera remplacé par un autre article même si c'est plus cher mais au prix de l'article initial. Très fort de son succès il est difficile d'avoir un créneau pour la livraison. Un ajout de 5€ si vous habitez en étage qui ne semble pas être remis au(x) livreur(s). Un suivi de la commande exemplaire.- la transparence des prix consultables sur InternetLes prix sont intéressant avec les promos + le système de fidélité.",2020-10-21,medium
promo toujours en rupture,promo toujours en rupturecaissieres qui refusent presque toujours les bons de reductions et souvent peu aimables,2020-10-21,medium
C est bien de faire de la pub à la télé…,"C est bien de faire de la pub à la télé mais il faudrait avant honnorer les promotions annoncées à inter aulnoye aymeries il est rare d avoir les promos (pas livré, il n y en a plus et on est livré qu une fois ) bref ils n'ont jamais ce qui est en promo",2020-10-16,medium
bjr promo introuvable sur la lessive…,bjr promo introuvable sur la lessive ariel en 33 lavage introuvable dans tout le departement,2020-10-08,medium
INTERMARCHE DE MAGNY LES HAMEAUX 78…,INTERMARCHE DE MAGNY LES HAMEAUX 78 REFUSE DE SERVIR LA CLIENTELE FRAGILE PAR LE DRIVE OU LA LIVRAISON DEPUIS AVANT LE CONFINEMENT! LEUR SITE A UN RUBRIQUE AVIS AUQUEL ILS NE REPONDENT PAS UNE FOIS QU’ON A REDIGÉ UN MESSAGE POUR RIEN. LEUR ATTITUDE EST INACCEPTABLE QUAND D’AUTRES INTERMARCHÉS OFFRE LE DRIVE ET LA LIVRAISON.,2020-10-03,medium
J'attends encore...,"Je n'ai jamais reçu mes plats masterchef commander en ligne. Mon collecteur était plein. On collectionne les vignettes mais au moment de prendre les articles ,ils sont indisponible. Intermarché très décevant.",2020-10-03,medium
Pitoyable à fuir,"Pitoyable à fuir intermarché beauvoir sur mer (85230)Se disent commerçants ????La ""responsable"" vous hurle dessus lève les yeux au ciel, vous envoie balader...... Bref à fuirPour un retour article ne font que des avoirs car Vous avez fait une erreur et pas eux 🤣🤣🤣Classe ces ""commerçants""Autant les employés sont agréables autant les patrons sont exécrablesRègles de covid à peine respectées Une hôtesse de caisse qui tous les jours porte son masque sous le nez ou même carrément sur le menton",2020-10-02,medium
Intermarché de Beauvoir sur Mer 85230,"Intermarché de Beauvoir sur Mer 85230, refus catégorique des garanties du matériel après achat BIEN SÛR......Donc ma note est :D.A.U.B.E.....De plus les règles d'hygiène sont limités, pas de produits à l'entré pour se désinfecté les mains !!! Et j'en passe.....Donc à bon entendeur, passez votre chemin et allez à super u de Beauvoir sur Mer 85230.Ils sont magnifiques et très accueillants comparer à Intermarché.",2020-10-01,medium
Très déçu d inter marche de zac de…,"Très déçu d inter marche de zac de champ St Ange à VarcesRayon charcuterie .la personne me sert 2 tranches de pate croute (entre nous arrivé  à la maison deux tranches de marbre) et demander  de me mettre le talon en chute , j ai pas fait attention .elle ma tout  pesait au prix normal Vraiment pas professionnel  très déçu de ce magasin...petite erreur avant mais rien dit mais la ,c est prendre les gens pour des pigeons.",2020-10-01,medium
INTERMARCHE FREJUS,LA DIRECTRICE A DONNE SA PROMESSE DE M INFORMERMAIS AUCUNE REACTIONIL NE SEMBLE PAS D ETRE UN SUJET D IMPORTANCE PAS DE PROGRES ALORS,2020-09-30,medium
PAS DE MAILS POUR RÉCUPÉRER MES PLATS MASTERCHEF,"J'attends toujours le mail pour aller chercher mes plat masterchef depuis le mois de mai. Et la visiblement c'est trop tard pour demander quoique ce soit. Ce n'est pas la faute de mon intermarche , lui mérite 5 étoiles, personnel accueillant souriant etc etc mais par contre A REVOIR POUR LES RETOURS DE MAILS CONCERNANT LES ARTICLES MASTERCHEF. TRES DÉÇUE 😞",2020-09-28,medium
Promo écran plat 139cm Hitachi à 289€,"Promo écran plat 139cm Hitachi à 289€, rdv à henrichemont (18), et l' écran plat est à 349€. Bon je rentre et en discute avec mon amie et pour quelques dizaines d'euros supplémentaire on décide de la prendre malgrés leur pub mensongère. En arrivant à la caisse on se rend compte que c'est pas une139cm mais une 113cm, ben super n'était ravis double belle carotte. Merci inter pour votre publicité mensongère.",2020-09-26,medium
Intermarché Argeles sur Mer (66)Accueil déplorable,"Hier matin 25 septembre à 9h45 précisément je suis allée pour louer un véhicule la personne de l'accueil la pauvre était seule pour tout gérer:Téléphone RéclamationRembourser produits Et bien entendu location de véhicule. J'ai attendu plus de 15 mn pour établir le dossier de location. Une personne venue je pense d'un autre service est passée à côté de moi, j'attends encore son retour de bonjour !Bref visiblement elle a se baladait laissant sa collègue se débrouiller seule .Lorsque cette personne est repassée près de moi je me suis levée pour m'adresser à elle en renouvellement mon bonjour et sa réponse a été :Laissez moi passer j'ai autre chose à faire !Qu'est-elle venue faire: montrer son incompétence , simplement  histoire de se dégourdir les jambes ?Monsieur le Directeur veuillez observer par moment le comportement de votre personnel et enseigner à certaines personnes des leçons de politesse idem pour la station !Merci de vous pencher sur le problème. Cordialement",2020-09-26,medium
ACCUEIL INTOERABLE Les 2 personnes assise l accueil de…,Les 2 personnes assises à l accueil de l intermarché de thiers dans le puy de dome 63 ne sont pas très aimables et ne m ont pas donné envie de REVENIR dans cette enseigne après l attitude désinvolte et à la limite de la politesse qu elles ont eu à mon égard  hier après-midi alors que je cherchais les masques qui avaient été cités à la publicité à la radio Leur réaction à été disproportionnée à leur fonction et à l égard  d'un client Mesdames si un client vous demande un renseignement ce n'est pas pour vous embêter c est parceque cela fait partie (ne vous en déplaise  d'informer les consommateurs) de votre travail Votre attitude et réaction ne me donne pas envie de faire des courses dans un magasins où les personnes a l accueil vous agressent si  vous leurs demandez un renseignement.......inadmissible......intolérable de la part d une enseigne aussi connue Mesdames il y a sûrement des personnes qui remplirait votre fonction mieux que vous si votre travail ne vous convient pas laissez la place à des personnes compétentes qui sauraient mettre en-avant l image de marque de l enseigne,2020-09-25,medium
Les masques vendus actuellement ne sont…,"Les masques vendus actuellement ne sont pas aux normes  / essayez le test de la bougie :un moindre souffle eteint  la flamme ,donc inefficaces",2020-09-25,medium
Masques 😱,J'ai reçu SMS pour des masques.... Et offre de 10 ou 50....grand bien m'a pris d'acheter boîte de 10...2€ certes mais d'une qualité médiocre et une odeur insupportable. Pas made in France C'est sûr..... Lamentable 😠😡,2020-09-24,medium
Intermarche Roye HONTEUX,"Honteux! Une ""responsable"" s'en prend ouvertement ā l'une des collègues, en plein magasin, devant les clients. Réglant ses comptes. Un appel téléphonique a mis fin à cette situation intolérable. Je ne sais pas qui était au bout du fil, mais en tout cas la ""responsable"" était bien plus professionnelle. INADMISSIBLE. Cette responsable ne devrait pas être autorisée à manager une équipe. Cette responsable peu importe le motif n'a pas à s'exprimer de la sorte ni en face à face ni devant les clients. Il faut qu'il y ait une sanction!!",2020-09-23,medium
Intermarché Cessole Nice,Intermarché Cessole Nice . Ce magasin participe à l'opération en partenariat avec Tefal. Objectif acheter une poële Tefal avec remise de 50% sous condition de rapporter une poêle usager. Apparemment tout le monde n'a pas compris le contenu de ce  prospectus ni l'opération en cours car une responsable a exigé que je lui rapporte une poële Tefal. Ce qui n'est pas spécifié et les autres intermarché prennent toutes les poëles. Je crois que le but d'une opération est de vendre et non le contraire sauf à Cessole.,2020-09-22,medium
Publicité mensongère,"Bonjour, Aujourd'hui je reçois le prospectus, et dessus il y a une offre très intéressante d'un aspirateur rowenta avec un prix de départ de 179.90 € mais vendu 59.90 €, je m'en presse d'aller au magasin car l'offre était très alléchante et en discutant avec la caissière sur le prix de base, je décide de regarder sur le net a combien est elle vendu, le prix de base de cet aspirateur est de 100euros grand max et non pas 179euro !! Mais quel belle carotte, donc attention vérifié toujours le prix de base avant d'acheter quoi que se sois.",2020-09-22,medium
Impossible de créer mon compte fidélité…,Impossible de créer mon compte fidélité  . .....!!!!,2020-09-19,medium
Ce matin Intermarché Gaillard,Ce matin Intermarché Gaillard. On m’a remis un bon de réduction de 2.80€ sur le lait Guigoz bio 2 et 3 . Il n’y a pas de Guigoz bio 3 en rayon c’est vraiment se moquer de la tête des clients,2020-09-16,medium
bonjour,"bonjour, je suis cliente intermarché depuis des années.. hier le 14 septembre j'ai fait mes courses, j'aime beaucoup la qualité de service à la boucherie. par contre gros bémol concernant le passage en caisse par une employée désagréable à tout point de vue.intermarché rue Paul Masson à Brest ;il était 12h15",2020-09-15,medium
intermarché st yrieix la perche 87500…,"intermarché st yrieix la perche 87500 avenue de périgueux; une employée est détestable avec tout le monde , elle passe son temps à rabaisser et à humilier les clients , chose facile avec une clientèle rurale et âgée, mais les couples de 40 ans ne lui font pas peur. Le magasin perd de plus en plus de clients par sa faute ( entre clients on parle), cette femme est proche de lucifer, c'est insoutenable, et quand vous demander à voir un responsable celui-ci (ou celle-ci ) vous répond qu'il est au courant, que le problème est récurrent, mais qu'il ne peut malheureusement rien faire . Cette personne doit bénéficier d'un soutien et d'une protection particulière de toutes façons elle sait s'arrêter à chaque fois juste avant la faute professionnelle et s'arrange aussi à ce que ses supérieurs soient absent lorsque qu'elle opère; par contre quand vous demandez à voir un responsable de magasin après une de ses actions maudites elle est beaucoup plus en retrait et effacée, normal pas vue pas prise . Voilà , c'est dommage il y a tellement de gens compétents qui pourraient la remplacer .",2020-09-14,medium
Intermarche BREVAL,"Intermarche BREVALJ'ai vue des produits périmés en rayon !  Caissières arrogantes, tout est hors de prix, un magasin à éviter je vais chez LECLERC...",2020-09-12,medium
Intermarché drive Montpon-ménestérol…,"Intermarché drive Montpon-ménestérol 24700 Dordogne.personnel gentil sympa OK.Le problème est que lors de la commande par internet la veille, les articles sont disponibles mais....surprise le lendemain lors de la récupération de la commande il manque TOUJOURS des articles que plus est sont essentiels. Ceci quasi toutes les semaines, on peut compte les semaines que la commande est complète!Les fruits ne sont pas n'ont plus de la première fraîcheur.Conclusion NAVRANT est DOMMAGE !!!",2020-09-10,medium
remarque sur intermarché de ramonville…,"remarque sur intermarché de ramonville st-agne.  samedi  5 septembre, dans le magasin : employés  masques sous le menton, d'autres nez à l'air 'ainsi qu'à la caisse où je  suis passée. J'en ai fait la remarque à Monsieur  le Directeur qui m'a envoyée promener d'une façon assez cavalière : n'a pas d'ordres  à recevoir de ma  part  je ne donnais  pas d'ordre je faisais une remarque.",2020-09-08,medium
