Title,Content,Date,Rating
Sacs en papier,"Les nouveaux sacs en papier ne servent à rien. Je suis passée sous une averse, résultat tout s'est retrouvé sur le bitume 200 m après la sortie. Il faut laisser le choix entre ça et des cabas.",2020-10-26,medium
Attention au délais de livraison,"Bonjour,Je viens de passer une commande avec la société Leclerc. Il s’agissait d’un téléviseur. Je passe ma commande le 15 Octobre, il était écrit « Livraison estimée le 19 Octobre ». (Soit 4 jours malgré un week-end) Attention, parce que dans leur condition générale, les délais peuvent aller jusqu’à 7 jours ouvrés. Au téléphone avec le service client, on t’informe que le délai estimé est IMPOSSIBLE à tenir et qu’il faut compter 7 jours minimum ! Impossible de faire de réclamation parce qu’une fois la commande passée, la date de livraison disparaît. Pire encore, il n’est même pas mis à jour (j’ai récupéré mon téléviseur et selon leur site, il n’avait toujours pas quitté l’entrepôt).J’ai donc vécu une mauvaise expérience avec cette société. Elle ne veut rien entendre malgré le fait que j’ai passé la commande à cause d’un caractère urgent et des délais de livraison plus court qu’ailleurs. Je ne pense pas recommander sur leur site.",2020-10-23,medium
personne vraiment désagréable leclerc Lamballe,"alors que je voulais emprunter le petit portillon situer a l'opposé de l’accueil une employé m'interpela de façon désagréable en m'indiquant que le panneau présent  a l'entrée du portillon  demandait bien au client de passer par l'entré principale et cela par une flèche et une phrase (entrée du magasin) je lui aie fait remarquer que le panneau était mal orienter et suite a mon insistante elle a fini par lever son séant pour déplacer le dit panneau  aprés cette expérience désagréable j'ai décider de ne plus fréquenter ce magasin  ""mort aux non comprenant""",2020-10-22,medium
Suite à un achat sur Leclerc culturel… console switch Mario kart deluxe,"Suite à un achat sur Leclerc culturel ,J’ai renvoyé une console switch complète modèle Mario kart deluxe , car elle ne fonctionnait pas . Impossible d’être remboursé depuis le 10 août dernier, des voleurs , je déconseille très fortement.",2020-10-21,medium
Vêtements défectueux,Bonjour j'ai fait l'achat d'un gilet la semaine dernière en promo. Lorsque je l'ai essayé j'ai trouvé un trou dans une manche donc je l'ai ramené à Leclerc et ils ont refusé de me rembourser car je l'ai porté. Je trouve ça lamentable venant d'une grande enseigne,2020-10-21,medium
nous avons commandé la toupie pour mon…,"nous avons commandé la toupie pour mon enfant depuis 19/09/20 , aucun commande reçu malgré plusieurs de relance, aucune nouvelle. Et la suivi de commande était toujours en préparation. nous sommes très déçu pour le service de commande pour l'espace culturel Leclerc, pourtant le prélèvement a été fait depuis 19/09.",2020-10-20,medium
Leclerc Allonnes (72),"Leclerc Allonnes (72) Personnel incompétent et désagréable Impossible de se garer ou l'on veut sur le parking s'il on vient hors horaires d'ouverture malgré que l'on soit client du magasin et non du personnel (il est vrai que tous les client se demandent à quelle heure est arrivée telle ou telle voiture garé avant lui, évidement)Comment faire fuir les client potentiels lol Il ne faut pas s'étonner que les gens aille voir ailleurs avec un accueil pareil surtout quand on voit aussi la désertification des commerces dans la galerie !Je déconseille fortement ce Leclerc qui n'est plus comme à une certaine époque !",2020-10-14,medium
Attention grosse arnaque en ce moment…,Attention grosse arnaque en ce moment sur la billetterie avec le Covid 19 ils ne parlent pas en ce moment que les billets doivent être après achat enregistrés sur le site du prestataire...nous en l occurrence Disney... pour mieux vendre leurs billets. Résultat refoulé à l entrée de Disney avec 2 enfants en pleurs... n acheté surtout pas de billets chez eux...,2020-10-11,medium
Refoulés violemment car le masque ne…,Refoulés violemment car le masque ne convient pas au directeur qui porte le sien sous le nez client depuis 15 ans nous n y mettrons plus JAMAIS LES PIEDS ici ou ailleurs en France ce type de comportement est inacceptable,2020-10-11,medium
Vidange auto mal faite,"J'ai fait effectuer la vidange de mon berlingot Citroen le 2 octobre dernier au Centre auto de Royan. Le 7 octobre j'ai eu l'alarme de niveau d'huile bas après 150 kms parcourus, j'ai donc ramené mon véhicule au centre auto qui a fait le diagnostique comme quoi le joint du filtre a huile était défectueux... Le joint doit être huilé avant la pose donc le mécanicien aurait dû voir le problème mais selon moi le joint a été mal positionné ce qui a engendré une fuite... Je ne recommande donc pas ce centre auto !",2020-10-07,medium
