Title,Content,Date,Rating
La garantie Parkside est une arnaque,"La garantie Parkside est une arnaque. Le service client me dit que une batterie pour perceuse est un accessoire et n'est pas garantie 3ANS, Hors boite à l'appui pour ces batteries, il est écrit 3 ans de garantie. De plus, il faut relancer ce service client sur les réseaux sociaux, pour qu'il daigne apporter un semblant de réponse, ne répondant même pas à leur formulaire en ligne. La réponse étant de réorienter vers un site où sont VENDUS des pièces détachées. Belle arnaque que la soit-disant garantie 3 ans.",2020-10-27,medium
Sav nul,"Sav nul. Perceuse percution en panne au bout d,une heure .Apres 10 appels je n, ai pas de reponse positive a mon problème",2020-10-26,medium
Vous faites des publicité mensongère où…,Vous faites des publicité mensongère où est la clé à choc que vous faites 6 magasins que je peux toujours pas de clé à choc,2020-10-24,medium
LIDDL QUIBERON,"LIDDL QUIBERON Grosse surprise de voir le rayon fruits et légumes avec peu de choix, les poireaux sont moisis ! il manque de réassort, une palette au rayon charcuterie remplie de marchandise empêche d'y accéder...de plus en plus d'objets avec des prix qui non rien a voir avec la marchandise exposée...vérification faite les prix affichés sont différents en caisses, la cerise sur le gâteau le personnel pas du tout commercial et manque d'amabilité vraisemblablement se fiche des clients et une attente en caisse.",2020-10-23,medium
Augmentation des prix,"Bonjour,Je suis cliente de Lidl depuis plusieurs années, je constate une trop forte augmentation des prix. Sinon les vendeuses et responsable sont très agréables. Cordialement.",2020-10-23,medium
Je suis cliente chez lidl aucun soucis…,Je suis cliente chez lidl aucun soucis cependant je n'en peux plus de me prendre la tête pour les mesures barrières mais alors pas respectées du tout.. Pas de masque pas de distance aux caisses régulièrement qq qui vous massacre le dos et j en passe. Ceci a Freyming merlebach.... Et si vous dites poliment vous pouvez vous reculer un peu SVP...bien entendu.. alors là on se fait traiter !!!???  Veuillez laisser en place cette jeune femme qui surveille très efficace lorsqu elle est là... Merci.. A ne rien faire tout devient autorisé..,2020-10-23,medium
Collection peluches Asterix,"Depuis plusieurs semaines je collecte des vignettes lors de mes passages en caisse au Lidl de Rousset afin d'obtenir 2 peluches de la collection d'Asterix pour mes 2 petits-enfants. Ce matin non seulement il n'y avait plus celles qu'ils voulaient mais en plus la caissière m'a obligée (je ne l'incrimine pas, elle suit le règlement) à faire deux notes séparées car on a droit qu'à une Peluche par chariot. C'est vraiment ridicule. Sachant qu'un collecteur contient 18 vignettes à 15 euros chacune x 2 collecteurs pour les 2 peluches j'ai quand même fait 540 euros de course + 2x 1.99 par Peluche et on me refuse 2 peluches, que j'ai payé au centuple, sur la même note. C'est incompréhensible !",2020-10-22,medium
Je suis allée à lidl ce matin déjà j'y…,"Je suis allée à lidl ce matin déjà j'y vais de moins en moins car les caissières sont désagréables et ce matin alors là le summum la caissière me compte 2 articles au lieu de 1 elle me répond ""il arrive que 2 articles ont la même référence"" et chipote pour me rembourser me faisant presque passer pour une menteuse je lui répond que j'ai travaillé en commerce et que je ne suis pas une gamine elle me rembourse mais vraiment à contrecoeur et persiste dans ses propos Au lieu de discuter elle ferait mieux de faire attention à ce qu'elle fait et éviter de passer 2 fois le même article",2020-10-22,medium
Je suis cliente LIDLT depuis environ 3…,"Je suis cliente LIDLT depuis environ 3 ans dans le Magasin de SERVON 77 les produits vendu sont de plus en plus de qualités et de plus en plus des Marques National y sont proposés . J e faisais mes courses dans ce magasin les yeux fermés. Mais depuis 10 jours je ne fréquente presque plus ce magasin, et lorsque j y vais c est avec beaucoup de méfiance.J ai acheté 3 sachets d épices qui étaient sur catalogue, arrivé chez moi j ouvre un premier sachet pour mettre le contenu dans un petit pot à épice et à ma grande surprise le sachet était rempli de mites alimentaires çà sautait de tout les côtes je referme le sachet j ouvre un deuxième sachet et même topo des mites dans le sachet ça sautait ses l ouverture du sachet. Je n ai pas ouvert le troisième sachet et je me suis rendu au magasin. Je demande à parler à un responsable le jeune homme à qui je m adresse se dit être le responsable il ne sait rien de mites alimentaires...il ne connaît pas !!!  Je lui explique les dégâts que cela peut faire et lui dit qu il faut absolument enlever tous les sachets du rayon qu il faut avertir le fournisseur et lui retourner tout ses produits. Il passe un coup de fil devant moi la personne lui dit d enlever les produits du rayon et il me dit qu il y a une responsable au dessus de lui ...en effet je repasse dans le rayon et les épices ne sont plus dans le rayon..MAIS LES ÉPICES ONT ÉTÉS REMIS EN RAYON DES LE LENDEMAIN...Je trouve cela SCANDALEUX J ébruite ce méfait autour de moi pour en avertir un maximum de personnes sur les agissements de ce magasin  Il est inadmissible de laisser en rayon des produits infectés de mites La marqueBIO CORIANDRE KANIAProduit écologique !!!!!Les mites étaient peut-être aussi BIO !!!C EST SCANDALEUX Quand on sait les dégâts que ces bestioles peuvent causerJe tiens à Signaler que  le lendemain J ai vue la Responsable je lui ai fait part de mon indignation à voir les produits qui ont était remis en rayon Cette personne m a montrer une indifférence totale faisant mine de ne pas entendre ce que je lui disais CEST SCANDALEUX C EST HONTEUX",2020-10-22,medium
Lidl c'est le prix mais produits à consommer rapidement,"Lidl est très bien dans les tarifs, mais:- les dates de péremption sont trop courtes- les fruits et les légumes se périment trop vite, et les prix passe du simple au double trop bizarre- çà sent le gaspillage- le coup de la perceuse sans fil sans batteries est une honte- pas de livraison possible- des promos toutes les semaines, oui mais les articles ne sont pas en rayon le jour J, et la pub arrive 2 jours après. Quand même consultable par Internet.- magasin pas très propreSinon:- voir le catalogue de la future semaine est une superbe idée. Bon çà fait venir toute les semaines mais c'est top on gère ses courses et ses menus sur presque 2 semaines.- les plats préparés sans huile de tournesol sont de bons produits (Toque du chef, Saveurs de nos Régions...)- la qualité des produits sont généralement bon (W5, Cien, Combino...)- le pain et les croissants sont correctTrès grands client de Lidl (Aldi très propre est trop loin dommage), mais un peu moins ces derniers temps, je me tourne sur Intermarché le plus souvent. Pas si cher que çà, plus proche, prix affichés sur Internet, fruits et légumes de meilleur qualité et moins cher (souvent 2 fois moins cher qu'au Lidl!)  et livraison à domicile possible, les dates de péremption sont bien plus élevés (sauf dans les promos).Lidl cible les très grandes familles avec véhicule. C'est mon ressenti.",2020-10-21,medium
Trop de bonnes affaires à faire avec ce…,"Trop de bonnes affaires à faire avec ce magasin ! Bon c'est vrai, parfois on craque pour des trucs dont on a pas besoin mais bon ...",2020-10-21,medium
La moutarde Winarom de Dijon,"La moutarde Winarom de Dijon, fine et forte, un véritable ""emporte bouche "" sans arômes et sans saveur...La mention ""très forte"" devrait être rajoutée ...Un danger...",2020-10-20,medium
Pâte brisé.... Brisé..,J'ai acheté une pâte brisée chez Lidl pour la première fois quelle ne fut pas ma surprise en essayant de la dérouler et bien la pâte brisée est brisé et inemployable...,2020-10-20,medium
"Garantie 3 ans, on peut rêver!","Garantie 3 ans, on peut rêver ! J'ai déposé un dossier en mai concernant une ponceuse à bande. En juillet, n'ayant aucune nouvelle, j'ai réussi après plusieurs appels sans réponse à avoir quelqu'un qui me dit que mon dossier est complet mais qu'il y a beaucoup de retard à cause du virus... l'excuse est bonne ! Il y a une quinzaine j'ai relancé par mail cette fois. Aucune réponse. Résultat: ayant besoin d'une ponceuse j'en ai acheté une autre mais surtout pas à Lidl qui pourtant en propose une qui paraît intéressante mais je suis vacciné ! Si vous êtes tenté, le produit a l'air bien mais ne comptez pas sur SAV.",2020-10-20,medium
Une responsable à qui son poste lui est monter à la tête,Une responsable à qui son poste lui est monté à la tête à tél point qu’elle en a eu des cheveux bleu très hautaine,2020-10-20,medium
Lidl Longjumeau/Villebon,"Lidl Longjumeau. (91).Meilleur magasin des Français, Lidl veille aux consignes sanitaires... Que du coup de pub. Avant Lidl était très bien mais maintenant fort de son succès, le service aux clients laisse à désirer, personnel souvent blasé et impoli. Longjumeau ce matin, pas de gel hydro à l'entrée, comme d'habitude, le personnel travaille sans masque... Bref pub mensongère totale. Ah oui, anti gaspillage ? Le responsable de Lidl Villebon a préféré jeter 2 cartons de jambon arrivant à date, que de les faire en prix 0 gaspillage à 0.20€.J'ai signalé ce monsieur Abdelhak, responsable de magasin à Lidl France, mais rien.Les fruits Anti gaspi à 1& la caisse sont pourris, griblés de mouches, c'est scandaleux ! Abîmés moins chers c'est normal, mais pourris ne méritent que la poubelle. Scandaleux !",2020-10-19,medium
les mesures barrieres ???,"la qualité des produits est là .par contre j'ai mis 2 étoiles car depuis quelques semaines le récipent du gel hydroalccolique n'est plus rempli et il n'y a plus non plus de sopalin pour nettoyer les caddies . Quand on appelle un des employes du magasin pour qu'il vienne le remplir ,entre 10 et 20 minutes s'ecoulent .",2020-10-19,medium
SAV lidl,"Le dernier produit que j'ai acheté, un extracteur de jus est tombé en panne au bout d'un an le SAV a ouvert un dossier mais sans suite malgré mes relances.Après un mois d'attente et 5 relances on m'informe qu'il faut appuyer sur le bouton Reset de mon appareil 15secondes et non pas 2 comme je le faisais. Je rajoute 2 étoiles.",2020-10-18,medium
